source_name,grupa,page,matched_id,matched_naziv,status,match_type,kcal,p_g,m_g,uh_g,holesterol_mg,suggestions
BOMBONI tvrdi obični,"ŠEĆER, MED I SLATKIŠI",4,,,review,,386.0,0.0,0.0,97.0,0.0,
KEKS Bevita,"ŠEĆER, MED I SLATKIŠI",4,,,review,,422.0,12.0,10.0,71.0,,
KEKS Bambi,"ŠEĆER, MED I SLATKIŠI",4,,,review,,437.2,11.9,12.0,70.4,,
KEKS Jaffa,"ŠEĆER, MED I SLATKIŠI",4,,,review,,397.7,4.0,10.8,70.1,,
SLANI PERECI Pardon,"ŠEĆER, MED I SLATKIŠI",4,,,review,,299.1,6.99,8.4,48.82,,
SMOKI (Stark),"ŠEĆER, MED I SLATKIŠI",4,,,review,,548.0,14.0,30.0,53.0,,
ŽVAKAčA GUMA,"ŠEĆER, MED I SLATKIŠI",4,,,review,,280.0,0.0,0.0,70.0,0.0,
MLEČNA ćOKOLADA,"ŠEĆER, MED I SLATKIŠI",4,,,review,,528.0,9.0,32.0,51.0,10.0,crna_cokolada:crna čokolada:0.86
ćOKOLADNI NAMAZ,"ŠEĆER, MED I SLATKIŠI",4,,,review,,534.0,7.0,30.0,59.0,2.0,
KAKAO instant,"ŠEĆER, MED I SLATKIŠI",4,,,review,,375.0,5.0,3.0,82.0,0.0,
DŽEM,"ŠEĆER, MED I SLATKIŠI",4,,,review,,261.0,0.6,0.0,69.0,0.0,
MEŠANA MARMELADA,"ŠEĆER, MED I SLATKIŠI",4,,,review,,261.0,0.1,0.0,69.5,0.0,
MLEČNI SLADOLED,"ŠEĆER, MED I SLATKIŠI",4,,,review,,157.1,3.0,6.0,22.0,10.0,
SOK OD PARADAJZA (konzervirani),"PIĆA, NAPICI I OSTALO",4,,,review,,20.0,1.0,0.0,4.0,0.0,
SOK OD BOROVNICE,"PIĆA, NAPICI I OSTALO",4,,,review,,45.0,0.1,0.0,11.1,0.0,borovnice:borovnice:0.72
SOK OD BRESKVE,"PIĆA, NAPICI I OSTALO",4,,,review,,48.0,0.3,0.0,11.7,0.0,
SOK OD GROŽžA (konzervirani),"PIĆA, NAPICI I OSTALO",4,,,review,,63.0,0.6,0.1,15.0,0.0,
SOK OD JABUKE (konzervirani),"PIĆA, NAPICI I OSTALO",4,,,review,,47.0,0.1,0.1,11.7,0.0,
SOK OD KRUŠKE (konzervirani),"PIĆA, NAPICI I OSTALO",4,,,review,,50.0,0.4,0.1,12.9,0.0,
SOK OD LIMUNA,"PIĆA, NAPICI I OSTALO",4,,,review,,34.0,0.4,0.0,8.3,0.0,
